material_id,property,temperature_C,value,unit,source,grade_notes
Ti6Al4V,density,20,4430,kg/m3,Literature,Grade 5 - Standard aerospace grade
Ti6Al4V,thermal_conductivity,20,7.5,W/mK,Literature,
Ti6Al4V,thermal_conductivity,200,9.2,W/mK,Literature,
Ti6Al4V,thermal_conductivity,400,12.1,W/mK,Literature,
Ti6Al4V,thermal_conductivity,600,15.8,W/mK,Literature,
Ti6Al4V,specific_heat,20,560,J/kgK,Literature,
Ti6Al4V,specific_heat,200,580,J/kgK,Literature,
Ti6Al4V,specific_heat,400,620,J/kgK,Literature,
Ti6Al4V,specific_heat,600,680,J/kgK,Literature,
Ti6Al4V,elastic_modulus,20,113.8,GPa,Literature,
Ti6Al4V,elastic_modulus,200,105,GPa,Literature,
Ti6Al4V,elastic_modulus,400,95,GPa,Literature,
Ti6Al4V,yield_strength,20,880,MPa,Literature,
Ti6Al4V,yield_strength,200,720,MPa,Literature,
Ti6Al4V,yield_strength,400,580,MPa,Literature,
Ti6Al4V,JC_A,20,1098e6,Pa,Literature,Johnson-Cook yield strength
Ti6Al4V,JC_B,20,1092e6,Pa,Literature,Johnson-Cook hardening
Ti6Al4V,JC_n,20,0.93,,Literature,Johnson-Cook hardening exponent
Ti6Al4V,JC_C,20,0.014,,Literature,Johnson-Cook strain rate dependency
Ti6Al4V,JC_m,20,1.1,,Literature,Johnson-Cook thermal softening
Al2024_T3,density,20,2780,kg/m3,Literature,High strength aerospace aluminum
Al2024_T3,thermal_conductivity,20,120,W/mK,Literature,
Al2024_T3,thermal_conductivity,200,140,W/mK,Literature,
Al2024_T3,thermal_conductivity,400,165,W/mK,Literature,
Al2024_T3,specific_heat,20,875,J/kgK,Literature,
Al2024_T3,specific_heat,200,920,J/kgK,Literature,
Al2024_T3,specific_heat,400,1000,J/kgK,Literature,
Al2024_T3,elastic_modulus,20,73.1,GPa,Literature,
Al2024_T3,elastic_modulus,200,68,GPa,Literature,
Al2024_T3,elastic_modulus,400,58,GPa,Literature,
Al2024_T3,yield_strength,20,324,MPa,Literature,T3 temper condition
Al2024_T3,yield_strength,200,280,MPa,Literature,
Al2024_T3,yield_strength,400,220,MPa,Literature,
Al2024_T3,ultimate_strength,20,469,MPa,Literature,
Al2024_T3,JC_A,20,324e6,Pa,Literature,From literature data
Al2024_T3,JC_B,20,114e6,Pa,Literature,
Al2024_T3,JC_n,20,0.42,,Literature,
Al2024_T3,JC_C,20,0.0083,,Literature,
Al2024_T3,JC_m,20,1.7,,Literature,
SS316L,density,20,8000,kg/m3,Literature,Austenitic stainless steel
SS316L,thermal_conductivity,20,16.3,W/mK,Literature,
SS316L,thermal_conductivity,200,19.8,W/mK,Literature,
SS316L,thermal_conductivity,400,23.6,W/mK,Literature,
SS316L,thermal_conductivity,600,27.4,W/mK,Literature,
SS316L,specific_heat,20,500,J/kgK,Literature,
SS316L,specific_heat,200,530,J/kgK,Literature,
SS316L,specific_heat,400,580,J/kgK,Literature,
SS316L,specific_heat,600,620,J/kgK,Literature,
SS316L,elastic_modulus,20,200,GPa,Literature,
SS316L,elastic_modulus,200,185,GPa,Literature,
SS316L,elastic_modulus,400,165,GPa,Literature,
SS316L,yield_strength,20,310,MPa,Literature,Annealed condition
SS316L,yield_strength,200,250,MPa,Literature,
SS316L,yield_strength,400,180,MPa,Literature,
SS316L,ultimate_strength,20,620,MPa,Literature,
SS316L,JC_A,20,310e6,Pa,Literature,
SS316L,JC_B,20,1000e6,Pa,Literature,
SS316L,JC_n,20,0.65,,Literature,
SS316L,JC_C,20,0.007,,Literature,
SS316L,JC_m,20,1.0,,Literature,
Inconel718,density,20,8220,kg/m3,Literature,Precipitation hardened superalloy
Inconel718,thermal_conductivity,20,11.4,W/mK,Literature,
Inconel718,thermal_conductivity,200,14.2,W/mK,Literature,
Inconel718,thermal_conductivity,400,18.6,W/mK,Literature,
Inconel718,thermal_conductivity,600,23.8,W/mK,Literature,
Inconel718,specific_heat,20,435,J/kgK,Literature,
Inconel718,specific_heat,200,460,J/kgK,Literature,
Inconel718,specific_heat,400,500,J/kgK,Literature,
Inconel718,specific_heat,600,540,J/kgK,Literature,
Inconel718,elastic_modulus,20,211,GPa,Literature,
Inconel718,elastic_modulus,200,195,GPa,Literature,
Inconel718,elastic_modulus,400,175,GPa,Literature,
Inconel718,yield_strength,20,1241,MPa,Literature,Solution treated and aged
Inconel718,yield_strength,200,1100,MPa,Literature,
Inconel718,yield_strength,400,950,MPa,Literature,
Inconel718,ultimate_strength,20,1380,MPa,Literature,
Inconel718,JC_A,20,1241e6,Pa,Literature,
Inconel718,JC_B,20,622e6,Pa,Literature,
Inconel718,JC_n,20,0.6522,,Literature,
Inconel718,JC_C,20,0.0134,,Literature,
Inconel718,JC_m,20,1.3,,Literature,
AISI1045,density,20,7850,kg/m3,Literature,Medium carbon steel
AISI1045,thermal_conductivity,20,49.8,W/mK,Literature,
AISI1045,thermal_conductivity,200,46.5,W/mK,Literature,
AISI1045,thermal_conductivity,400,41.2,W/mK,Literature,
AISI1045,specific_heat,20,486,J/kgK,Literature,
AISI1045,specific_heat,200,520,J/kgK,Literature,
AISI1045,specific_heat,400,580,J/kgK,Literature,
AISI1045,elastic_modulus,20,205,GPa,Literature,
AISI1045,elastic_modulus,200,190,GPa,Literature,
AISI1045,elastic_modulus,400,170,GPa,Literature,
AISI1045,yield_strength,20,553,MPa,Literature,Normalized condition
AISI1045,yield_strength,200,480,MPa,Literature,
AISI1045,yield_strength,400,380,MPa,Literature,
AISI1045,ultimate_strength,20,625,MPa,Literature,
AISI1045,JC_A,20,553e6,Pa,Literature,
AISI1045,JC_B,20,601e6,Pa,Literature,
AISI1045,JC_n,20,0.234,,Literature,
AISI1045,JC_C,20,0.0134,,Literature,
AISI1045,JC_m,20,1.0,,Literature,
AISI4140,density,20,7850,kg/m3,Literature,Alloy steel with Cr-Mo
